prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts,has_token_mismatch
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","""Amazing cultural experiences await; attractions abound in Hawaii's vibrant landscape.""",29,10,True,False,1820.9120999090374,1825.3534999676049,374.0,1451.3534999676049,3377.3134151842023,True,0.0638000201433897,0,106,16,False,end_turn,A_prompt_only,"{'mean': 0.050329999066889286, 'min': 0.04630000330507755, 'max': 0.0638000201433897, 'count': 10, 'p50': 0.04850002005696297, 'p90': 0.055070058442652225, 'p95': 0.05943503929302095, 'p99': 0.06292702397331595}",0,,0,0,106,16,1,True
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31,11,True,False,1793.3993998449296,1798.5042999498546,330.0,1468.5042999498546,2742.4630672974913,True,0.06410013884305954,0,105,15,False,end_turn,A_prompt_only,"{'mean': 0.05441667356838783, 'min': 0.05019991658627987, 'max': 0.06410013884305954, 'count': 6, 'p50': 0.05230004899203777, 'p90': 0.06029999349266291, 'p95': 0.06220006616786122, 'p99': 0.06372012430801988}",1,,0,0,105,15,1,True
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25,10,True,False,1404.8005000222474,1409.2737000901252,358.0,1051.2737000901252,2906.1968619185013,True,0.062499893829226494,0,98,14,False,end_turn,A_prompt_only,"{'mean': 0.052057140107665746, 'min': 0.04770001396536827, 'max': 0.062499893829226494, 'count': 7, 'p50': 0.05060015246272087, 'p90': 0.05788006819784641, 'p95': 0.060189981013536446, 'p99': 0.06203791126608848}",0,,0,0,98,14,1,True
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; combustion is both.,37,9,True,False,1433.9563001412898,1552.917400142178,302.0,1250.917400142178,117.68552913427568,True,54.60730008780956,0,116,15,False,end_turn,A_prompt_only,"{'mean': 7.96042855030724, 'min': 0.054999953135848045, 'max': 54.60730008780956, 'count': 7, 'p50': 0.06609992124140263, 'p90': 22.315360140055436, 'p95': 38.46133011393245, 'p99': 51.37810609303412}",-1,,0,0,116,15,1,True
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River influence settlement, agriculture; experiment compare crop yields.",31,10,True,False,1829.4655999634415,1834.291399922222,332.0,1502.291399922222,2901.0734219364795,True,0.0654999166727066,0,103,15,False,end_turn,A_prompt_only,"{'mean': 0.05156249972060323, 'min': 0.04460010677576065, 'max': 0.0654999166727066, 'count': 8, 'p50': 0.04894996527582407, 'p90': 0.0596899539232254, 'p95': 0.062594935297966, 'p99': 0.06491892039775848}",0,,0,0,103,15,1,True
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules for big effects.",31,11,True,False,1105.5407000239938,1567.4872999079525,388.0,1179.4872999079525,34.63603802694773,True,458.7539001367986,1,108,17,False,end_turn,A_prompt_only,"{'mean': 51.021277775160144, 'min': 0.047900015488266945, 'max': 458.7539001367986, 'count': 9, 'p50': 0.05359994247555733, 'p90': 91.80374005809435, 'p95': 275.27882009744627, 'p99': 422.0588841289281}",1,,0,0,108,17,1,True
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's mirror, poetic allegory.",21,8,True,False,1899.7414000332355,1904.605699935928,562.0,1342.605699935928,3083.6914458537713,True,0.07559987716376781,0,92,16,False,end_turn,A_prompt_only,"{'mean': 0.05319999116990301, 'min': 0.04679989069700241, 'max': 0.07559987716376781, 'count': 9, 'p50': 0.04930002614855766, 'p90': 0.06119995377957821, 'p95': 0.06839991547167301, 'p99': 0.07415988482534885}",-2,,0,0,92,16,1,True
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws: Microsoft vs. China's tech market dominance.""",31,11,True,False,1788.018299965188,1908.3123998716474,374.0,1534.3123998716474,141.32031424000994,True,69.79899993166327,0,103,18,False,end_turn,A_prompt_only,"{'mean': 6.967476473244674, 'min': 0.04810001701116562, 'max': 69.79899993166327, 'count': 17, 'p50': 0.062000006437301636, 'p90': 18.964219931513085, 'p95': 50.39148004725574, 'p99': 65.91749595478177}",1,,0,0,103,18,1,False
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29,9,True,False,1071.3072000071406,1491.6368001140654,389.0,1102.6368001140654,49.960792660469195,True,415.565799921751,1,103,22,False,end_turn,A_prompt_only,"{'mean': 37.82531818036329, 'min': 0.04759989678859711, 'max': 415.565799921751, 'count': 11, 'p50': 0.049999915063381195, 'p90': 0.060499878600239754, 'p95': 207.81314990017563, 'p99': 374.0152699174361}",-1,,0,0,103,22,1,True
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; campaign plan first.,29,11,True,False,1836.4834999665618,1840.7398001290858,336.0,1504.7398001290858,3289.2417041607337,True,0.0667001586407423,0,102,15,False,end_turn,A_prompt_only,"{'mean': 0.05427142605185509, 'min': 0.04930002614855766, 'max': 0.0667001586407423, 'count': 7, 'p50': 0.05289982073009014, 'p90': 0.0611200463026762, 'p95': 0.06391010247170925, 'p99': 0.06614214740693569}",1,,0,0,102,15,1,True
