prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts,has_token_mismatch,error,error_type
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","Hawaii travel blog highlights cultural experiences, attractions, adventures, and amazing sights.",29.0,11.0,True,False,3376.2036999687552,3381.784100085497,351.0,3030.784100085497,2687.9793000861664,True,0.0567000824958086,0.0,176.0,16.0,False,end_turn,C_fast_correction,"{'mean': 0.05100000028808912, 'min': 0.04829978570342064, 'max': 0.0567000824958086, 'count': 6, 'p50': 0.04980002995580435, 'p90': 0.05465000867843628, 'p95': 0.05567504558712244, 'p99': 0.05649507511407137}",1.0,False,0.0,0.0,282.0,36.0,2.0,True,,
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31.0,11.0,True,False,2630.8009000495076,2674.576299963519,343.0,2331.576299963519,319.81432556870755,True,34.13749998435378,0.0,105.0,15.0,False,end_turn,C_fast_correction,"{'mean': 5.738149979151785, 'min': 0.04959991201758385, 'max': 34.13749998435378, 'count': 6, 'p50': 0.060399994254112244, 'p90': 17.10349996574223, 'p95': 25.620499975048006, 'p99': 32.43409998249263}",1.0,True,0.0,0.0,105.0,15.0,1.0,True,,
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25.0,10.0,True,False,2635.268099838868,2642.4282998777926,336.0,2306.4282998777926,1815.5917333773402,True,0.06050011143088341,0.0,98.0,14.0,False,end_turn,C_fast_correction,"{'mean': 0.05135715140828064, 'min': 0.046900007873773575, 'max': 0.06050011143088341, 'count': 7, 'p50': 0.04970002919435501, 'p90': 0.057080015540122986, 'p95': 0.05879006348550319, 'p99': 0.060158101841807365}",0.0,True,0.0,0.0,98.0,14.0,1.0,True,,
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; real example: combustion vs. melting.,37.0,11.0,True,False,2250.4761000163853,2259.1492000501603,444.0,1815.1492000501603,2075.382496443488,True,0.060300109907984734,0.0,116.0,19.0,False,end_turn,C_fast_correction,"{'mean': 0.051177779419554606, 'min': 0.04859990440309048, 'max': 0.060300109907984734, 'count': 9, 'p50': 0.04979991354048252, 'p90': 0.05502006970345974, 'p95': 0.05766008980572224, 'p99': 0.059772105887532234}",1.0,True,0.0,0.0,116.0,19.0,1.0,True,,
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps and Rhine River shaped settlement, agriculture, trade; experiment: compare yields.",31.0,11.0,True,False,1857.9593000467867,1865.2954001445323,407.0,1458.2954001445323,2180.9953226942353,True,0.06330013275146484,0.0,103.0,17.0,False,end_turn,C_fast_correction,"{'mean': 0.05286999512463808, 'min': 0.04159985110163689, 'max': 0.06330013275146484, 'count': 10, 'p50': 0.05140004213899374, 'p90': 0.06150011904537678, 'p95': 0.06240012589842081, 'p99': 0.06312013138085604}",1.0,True,0.0,0.0,103.0,17.0,1.0,True,,
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules affect big numbers.",31.0,11.0,True,False,1424.3317001964897,1431.0781999956816,335.0,1096.0781999956816,2371.6001595251464,True,0.09729992598295212,0.0,108.0,17.0,False,end_turn,C_fast_correction,"{'mean': 0.05713332858350542, 'min': 0.04879990592598915, 'max': 0.09729992598295212, 'count': 9, 'p50': 0.050900038331747055, 'p90': 0.06969999521970749, 'p95': 0.08349996060132979, 'p99': 0.09453993290662766}",1.0,True,0.0,0.0,108.0,17.0,1.0,True,,
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's shadow, poetic allegory.",21.0,8.0,True,False,2088.3374998811632,2182.964799925685,360.0,1822.964799925685,158.51662250685132,True,53.376000141724944,0.0,92.0,16.0,False,end_turn,C_fast_correction,"{'mean': 6.113511122142275, 'min': 0.06449990905821323, 'max': 53.376000141724944, 'count': 9, 'p50': 0.07320009171962738, 'p90': 11.578400013968357, 'p95': 32.47720007784663, 'p99': 49.196240128949285}",-2.0,True,0.0,0.0,92.0,16.0,1.0,True,,
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws: Microsoft vs. China case study.""",31.0,10.0,True,False,1731.1817998997867,1829.254199983552,361.0,1468.254199983552,152.94822995244567,True,89.66749999672174,0.0,103.0,16.0,False,end_turn,C_fast_correction,"{'mean': 15.233766675616303, 'min': 0.14830008149147034, 'max': 89.66749999672174, 'count': 6, 'p50': 0.1735000405460596, 'p90': 45.36784999072552, 'p95': 67.51767499372363, 'p99': 85.23753499612214}",0.0,True,0.0,0.0,103.0,16.0,1.0,True,,
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $10,000 for tech.",29.0,9.0,True,False,2475.5872001405805,2596.5875000692904,358.0,2238.5875000692904,181.81773113754107,True,80.94560005702078,0.0,103.0,23.0,False,end_turn,C_fast_correction,"{'mean': 8.219899982213974, 'min': 0.08739996701478958, 'max': 80.94560005702078, 'count': 10, 'p50': 0.1150498865172267, 'p90': 8.470579935237737, 'p95': 44.70808999612919, 'p99': 73.6980980448425}",-1.0,True,0.0,0.0,103.0,23.0,1.0,True,,
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; detailed campaign plan.,29.0,11.0,True,False,1743.1079000234604,2177.4301999248564,326.0,1851.4301999248564,32.23412659948249,True,427.8472000733018,1.0,102.0,15.0,False,end_turn,C_fast_correction,"{'mean': 71.36648330682267, 'min': 0.05310005508363247, 'max': 427.8472000733018, 'count': 6, 'p50': 0.06479991134256124, 'p90': 213.98150001186877, 'p95': 320.9143500425853, 'p99': 406.46063006715855}",1.0,True,0.0,0.0,102.0,15.0,1.0,True,,
